,plsaContext
643,LeftTroll|Before June 9|neutral
644,LeftTroll|Before June 9|neutral
645,LeftTroll|Before June 9|positive
646,LeftTroll|Before June 9|positive
647,LeftTroll|Before June 9|neutral
648,LeftTroll|Before June 9|neutral
649,LeftTroll|Before June 9|positive
650,LeftTroll|Before June 9|neutral
651,LeftTroll|Before June 9|negative
652,LeftTroll|Before June 9|negative
653,LeftTroll|Before June 9|positive
654,LeftTroll|Before June 9|positive
655,LeftTroll|Before June 9|neutral
656,LeftTroll|Before June 9|positive
657,LeftTroll|Before June 9|negative
658,LeftTroll|Before June 9|neutral
659,LeftTroll|Before June 9|positive
660,LeftTroll|Before June 9|positive
661,LeftTroll|Before June 9|negative
662,LeftTroll|Before June 9|neutral
663,LeftTroll|Before June 9|positive
664,LeftTroll|Before June 9|positive
665,LeftTroll|Before June 9|positive
666,LeftTroll|Before June 9|neutral
667,LeftTroll|Before June 9|positive
668,LeftTroll|Before June 9|negative
669,LeftTroll|Before June 9|neutral
670,LeftTroll|Before June 9|positive
671,LeftTroll|Before June 9|positive
672,LeftTroll|Before June 9|neutral
673,LeftTroll|Before June 9|neutral
674,LeftTroll|Before June 9|neutral
675,LeftTroll|Before June 9|positive
676,LeftTroll|Before June 9|neutral
677,LeftTroll|Before June 9|negative
678,LeftTroll|Before June 9|positive
679,LeftTroll|Before June 9|neutral
680,LeftTroll|Before June 9|neutral
681,LeftTroll|Before June 9|neutral
682,LeftTroll|Before June 9|neutral
683,LeftTroll|Before June 9|positive
684,LeftTroll|Before June 9|neutral
685,LeftTroll|Before June 9|positive
686,LeftTroll|Before June 9|positive
687,LeftTroll|Before June 9|neutral
688,LeftTroll|Before June 9|negative
689,LeftTroll|On or After June 9|negative
690,LeftTroll|On or After June 9|neutral
691,LeftTroll|On or After June 9|negative
692,LeftTroll|On or After June 9|negative
693,LeftTroll|On or After June 9|negative
694,LeftTroll|On or After June 9|neutral
695,LeftTroll|On or After June 9|negative
696,LeftTroll|On or After June 9|negative
697,LeftTroll|On or After June 9|negative
698,LeftTroll|On or After June 9|negative
699,LeftTroll|On or After June 9|neutral
700,LeftTroll|On or After June 9|neutral
701,LeftTroll|On or After June 9|positive
702,LeftTroll|On or After June 9|neutral
703,LeftTroll|On or After June 9|neutral
704,LeftTroll|On or After June 9|neutral
705,LeftTroll|On or After June 9|positive
706,LeftTroll|On or After June 9|neutral
707,LeftTroll|On or After June 9|positive
708,LeftTroll|On or After June 9|negative
709,LeftTroll|On or After June 9|neutral
710,LeftTroll|On or After June 9|neutral
711,LeftTroll|On or After June 9|negative
712,LeftTroll|On or After June 9|negative
713,LeftTroll|On or After June 9|neutral
714,LeftTroll|On or After June 9|positive
715,LeftTroll|On or After June 9|neutral
716,LeftTroll|On or After June 9|negative
717,LeftTroll|On or After June 9|positive
718,LeftTroll|On or After June 9|positive
719,LeftTroll|On or After June 9|neutral
720,LeftTroll|On or After June 9|negative
721,LeftTroll|On or After June 9|neutral
722,LeftTroll|On or After June 9|neutral
723,LeftTroll|On or After June 9|positive
724,LeftTroll|On or After June 9|neutral
725,LeftTroll|On or After June 9|neutral
726,LeftTroll|On or After June 9|positive
727,LeftTroll|On or After June 9|positive
728,LeftTroll|On or After June 9|positive
729,LeftTroll|On or After June 9|neutral
730,LeftTroll|On or After June 9|negative
731,LeftTroll|On or After June 9|neutral
732,LeftTroll|On or After June 9|neutral
733,LeftTroll|On or After June 9|positive
734,LeftTroll|On or After June 9|neutral
735,LeftTroll|On or After June 9|neutral
736,LeftTroll|On or After June 9|positive
737,LeftTroll|On or After June 9|neutral
738,LeftTroll|On or After June 9|negative
739,LeftTroll|On or After June 9|positive
740,LeftTroll|On or After June 9|neutral
